Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S,CH[4],CO[2],N[2]*O,CSIRO Adjusted Sea Level,Lower Error Bound,Upper Error Bound,NOAA Adjusted Sea Level
1956,-0.19,-0.23,-0.16,-0.2,-0.33,0.0,0.01,-0.47,-0.08,-0.28,-0.37,-0.14,0.02,0.76,312.735147286652,28609.13907333337,8.53052717061834,3.763779524,3.488188973,4.039370075,
1957,0.05,0.04,0.05,0.03,0.08,0.02,0.09,0.22,-0.11,0.05,0.1,-0.09,-0.02,0.49,322.56254378463,29515.15107,8.70738734362265,4.291338578,4.019685035,4.562992121,
1958,0.06,0.15,-0.03,0.08,0.2,-0.15,-0.17,0.14,0.12,0.26,0.15,-0.08,-0.08,-0.53,330.080125467922,30363.99859866663,8.89775864974746,4.346456688,4.086614169,4.606299208,
1959,0.03,0.12,-0.06,0.16,0.07,-0.16,0.49,0.18,0.04,0.07,0.08,-0.03,-0.26,-0.36,345.03008464076,31941.86235333337,9.10289901494808,4.358267712,4.102362201,4.614173224,
1960,-0.03,0.08,-0.13,0.09,0.02,-0.2,0.33,-0.07,0.11,0.06,-0.02,-0.1,-0.07,-0.75,354.83462843184,31909.128814,9.38153740371224,4.503937003,4.244094484,4.763779523,
1961,0.06,0.09,0.03,0.19,-0.03,0.05,-0.15,0.38,0.18,-0.07,0.0,0.14,-0.17,0.21,358.873538091778,31044.83758533337,9.8810939046555,4.748031491,4.488188972,5.007874011,
1962,0.03,0.13,-0.06,0.24,-0.05,-0.08,0.44,0.31,0.14,-0.04,-0.05,0.09,-0.07,-0.65,365.168736588238,31277.96513,10.21139351208956,4.543307082,4.283464563,4.803149601,
1963,0.05,0.14,-0.03,0.14,0.12,-0.12,-0.16,0.31,0.13,0.14,0.1,-0.1,-0.17,-0.03,374.604556461196,31839.414296000003,10.53785590386438,4.480314956,4.220472437,4.740157475,
1964,-0.2,-0.19,-0.2,-0.23,-0.14,-0.24,-0.66,-0.2,-0.12,-0.14,-0.14,-0.3,-0.07,-0.38,382.750550085824,32599.97696333337,10.90735031836046,4.169291334,3.905511807,4.433070862,
1965,-0.11,-0.14,-0.07,-0.18,-0.03,-0.13,-0.28,-0.24,-0.12,-0.08,0.02,-0.23,-0.03,-0.01,393.60442141434,32756.340004,11.32641987696754,4.610236216,4.346456688,4.874015743,
1966,-0.06,-0.02,-0.09,-0.14,0.08,-0.15,-0.76,-0.19,0.09,0.16,-0.01,-0.23,-0.14,0.11,408.740406474584,33414.54188533337,11.795272640046232,4.397637791,4.137795271,4.65748031,
1967,-0.02,0.03,-0.08,0.12,-0.14,-0.01,0.36,0.26,-0.05,-0.11,-0.17,-0.09,-0.02,0.3,414.615825776084,34322.23152533337,12.21212547645563,4.452755901,4.196850389,4.708661413,
1968,-0.08,-0.07,-0.09,-0.11,-0.07,-0.08,-0.33,-0.02,-0.08,-0.02,-0.11,-0.14,0.0,-0.08,422.2204290787,35762.8241,12.593615026515089,4.484251964,4.220472437,4.748031491,
1969,0.05,-0.03,0.14,-0.29,0.33,0.02,-0.04,-0.61,-0.17,0.35,0.32,0.0,0.13,-0.14,434.085962431236,36854.079148,12.85906937751898,4.751968499,4.476377948,5.02755905,
1970,0.03,-0.04,0.09,-0.11,0.06,0.11,-0.21,-0.13,-0.06,0.07,0.06,0.11,0.03,0.31,444.045828997886,38978.67954333337,12.97253680912314,4.67716535,4.401574799,4.9527559,
1971,-0.08,-0.15,-0.02,-0.06,-0.26,0.13,-0.08,0.01,-0.1,-0.3,-0.22,0.03,0.16,0.44,445.599833251024,40165.66416,12.88804436238646,4.881889759,4.610236216,5.153543302,
1972,0.01,-0.18,0.2,-0.34,0.16,0.14,-0.36,-0.47,-0.25,0.06,0.26,0.16,-0.02,0.45,455.065620243086,41622.294882,13.35202604523124,5.240157475,4.968503932,5.511811018,
1973,0.16,0.09,0.23,0.1,0.19,0.18,0.07,0.27,0.01,0.08,0.3,0.22,0.08,0.34,466.521173902606,43049.17969,13.75162483407784,5.003937003,4.736220468,5.271653538,
1974,-0.07,-0.18,0.03,-0.15,-0.2,0.18,-0.19,-0.07,-0.18,-0.23,-0.17,0.22,-0.08,0.65,469.206011077546,42658.264236,13.8916282490076,5.472440939,5.204724404,5.740157474,
1975,-0.01,-0.06,0.02,0.12,-0.24,0.16,0.09,0.39,-0.05,-0.31,-0.17,0.13,0.14,0.29,476.494674326584,42828.62297,14.28453113177178,5.409448813,5.145669286,5.673228341,
1976,-0.1,-0.21,0.01,-0.26,-0.12,0.09,-0.08,-0.32,-0.28,-0.13,-0.1,0.1,0.22,-0.24,483.589474451726,44571.56147866664,14.64087085838366,5.370078735,5.1023622,5.63779527,
1977,0.18,0.12,0.24,0.13,0.16,0.25,0.16,0.24,0.06,0.09,0.22,0.22,0.31,0.28,490.357723213836,45799.01445466663,14.98946545133234,5.303149601,5.043307081,5.56299212,
1978,0.07,0.02,0.11,-0.04,0.07,0.16,-0.16,0.04,-0.04,0.1,0.05,0.21,0.13,0.04,493.244985389706,46581.60438133337,15.24288784348734,5.555118105,5.291338577,5.818897632,
1979,0.16,0.08,0.25,-0.03,0.26,0.23,-0.6,0.07,0.08,0.25,0.27,0.3,0.33,-0.2,505.9324413906,47332.69061333337,15.76936375244316,5.362204719,5.098425192,5.625984246,
1980,0.26,0.17,0.35,0.06,0.31,0.39,0.25,0.02,0.02,0.32,0.29,0.35,0.37,0.59,504.444350735096,47151.13566133337,15.88339781040374,5.598425191,5.34251968,5.854330703,
1981,0.32,0.37,0.27,0.47,0.18,0.36,1.09,0.78,0.08,0.22,0.14,0.28,0.39,0.61,493.381732755652,46834.054692000005,15.53529050688414,6.086614167,5.830708655,6.342519679,
1982,0.14,0.05,0.23,-0.08,0.27,0.18,-0.4,0.09,-0.09,0.25,0.29,0.19,0.32,-0.11,499.71741254285,46564.79685466662,15.6955730814216,5.858267711,5.610236215,6.106299206,
1983,0.31,0.25,0.38,0.22,0.43,0.25,0.19,0.69,-0.07,0.29,0.58,0.21,0.41,0.05,500.893318493884,47602.258226,15.81510213739448,6.188976372,5.93307086,6.444881883,
1984,0.16,0.04,0.28,0.01,0.18,0.26,0.36,0.08,-0.14,0.07,0.3,0.16,0.32,0.51,507.980721272006,49917.786118,15.99737611431066,6.153543301,5.905511805,6.401574797,
1985,0.12,0.0,0.24,-0.03,0.09,0.3,0.39,-0.27,-0.02,0.04,0.14,0.3,0.44,0.04,516.173457303284,50780.402028,16.0885291589098,5.74803149,5.499999994,5.996062986,
1986,0.18,0.13,0.23,0.1,0.22,0.2,0.01,0.28,0.03,0.17,0.27,0.25,0.25,-0.11,522.822748879916,51458.114266,16.093819729047823,5.771653537,5.523622042,6.019685033,
1987,0.32,0.24,0.4,0.04,0.58,0.25,-0.36,0.13,0.12,0.55,0.62,0.32,0.25,0.0,528.572331950576,52740.470124,16.36586331057102,5.795275585,5.551181097,6.039370073,
1988,0.39,0.37,0.41,0.4,0.37,0.39,0.59,0.57,0.24,0.32,0.42,0.38,0.2,0.88,537.712880894674,54299.72649266663,16.31918554103526,5.980314955,5.732283459,6.22834645,
1989,0.27,0.27,0.27,0.4,0.13,0.34,0.33,0.69,0.25,0.07,0.19,0.36,0.3,0.36,550.181060908724,54527.02728466664,16.52963272336508,6.157480309,5.905511805,6.409448812,
1990,0.45,0.53,0.37,0.63,0.37,0.37,0.58,0.88,0.48,0.38,0.36,0.38,0.37,0.35,557.347853088842,55237.96915133337,16.6073472694206,6.232283458,5.972440939,6.492125978,
1991,0.4,0.41,0.4,0.47,0.36,0.39,0.75,0.66,0.26,0.32,0.4,0.31,0.29,0.95,555.176084854272,55976.84628466663,16.544728235203,6.334645663,6.074803143,6.594488182,
1992,0.22,0.13,0.31,0.09,0.28,0.27,-0.16,0.44,-0.04,0.19,0.36,0.2,0.33,0.4,555.134862128548,54912.48223866663,16.5578800588344,6.35826771,6.094488183,6.622047237,
1993,0.23,0.19,0.28,0.13,0.32,0.22,0.55,0.29,-0.11,0.28,0.35,0.27,0.39,-0.31,556.390777834894,55343.43958333337,16.465721753547797,6.291338576,6.027559049,6.555118104,6.297493046
1994,0.31,0.37,0.26,0.43,0.31,0.21,0.35,0.5,0.41,0.28,0.34,0.27,0.23,-0.05,561.491041963522,56498.652974,16.7126688329296,6.499999993,6.236220466,6.763779521,6.310933553
1995,0.45,0.58,0.32,0.7,0.42,0.22,1.32,0.98,0.31,0.4,0.44,0.29,0.15,0.14,569.8104017593,57456.65121933338,17.2087629579526,6.618110229,6.354330702,6.881889757,6.452568661
1996,0.33,0.26,0.39,0.23,0.32,0.43,0.77,0.17,0.1,0.31,0.32,0.33,0.28,1.19,575.532608473592,58852.655928,17.481387325684,6.787401568,6.523622041,7.051181095,6.62763131
1997,0.46,0.52,0.41,0.53,0.51,0.33,0.77,0.9,0.22,0.5,0.52,0.42,0.36,-0.04,575.506520686232,62778.40138266663,17.355046579261,7.066929127,6.803149599,7.330708654,6.733920367
1998,0.61,0.71,0.51,0.78,0.69,0.32,0.87,0.94,0.65,0.6,0.79,0.39,0.31,0.11,571.980592545464,59367.46231866663,17.3221370143952,6.665354324,6.393700781,6.937007867,6.865806069
1999,0.38,0.48,0.28,0.7,0.2,0.3,0.41,0.8,0.73,0.16,0.25,0.46,0.19,-0.01,575.291685167934,60401.40520466663,17.4196975010342,7.011811016,6.736220466,7.287401567,6.848689771
2000,0.39,0.5,0.28,0.7,0.24,0.29,0.98,0.8,0.55,0.21,0.28,0.42,0.1,0.26,586.006099006342,61098.41791533337,17.534291570495,7.062992119,6.791338576,7.334645662,6.920582014
2001,0.54,0.64,0.43,0.8,0.42,0.42,1.08,0.86,0.68,0.4,0.44,0.58,0.24,0.25,586.79567721575,60777.26124466663,17.6000431717098,7.287401567,7.019685032,7.555118103,7.087460011
2002,0.63,0.72,0.54,0.83,0.59,0.47,1.26,1.0,0.58,0.55,0.63,0.5,0.32,0.75,586.511200595204,62877.34908333337,17.8312614457408,7.381889756,7.110236213,7.653543299,7.319697525
