year,disasterno
2005,2005-0733
2005,2005-0351
2005,2005-0378
2005,2005-0382
2005,2005-0585
2006,2006-0716
2006,2006-0466
2007,2007-0134
2007,2007-0167
2007,2007-0281
2007,2007-0360
2007,2007-0496
2007,2007-0523
2007,2007-0612
2008,2008-0352
2008,2008-0384
2009,2009-0418
2009,2009-0469
2010,2010-0067
2010,2010-0508
2010,2010-0542
2010,2010-0571
2011,2011-0199
2011,2011-0303
2011,2011-0328
2012,2012-0114
2012,2012-0313
2013,2013-0213
2014,2014-0453
1978,1978-0116
1982,1982-0061
1993,1993-0073
1993,1993-0084
1995,1995-0186
1996,1996-0265
2001,2001-0603
2002,2002-0329
2002,2002-0598
2003,2003-0481
2003,2003-0661
2005,2005-0348
2005,2005-0567
2005,2005-0585
2005,2005-0625
2005,2005-0640
2006,2006-0338
2007,2007-0439
2007,2007-0503
2007,2007-0543
2008,2008-0234
2008,2008-0484
2010,2010-0211
2010,2010-0443
2010,2010-0503
2011,2011-0386
2014,2014-0007
2014,2014-0447
1970,1970-0028
1996,1996-0088
1999,1999-0203
2000,2000-0191
2001,2001-0095
2002,2002-0506
2004,2004-0369
2005,2005-0131
2006,2006-0156
2006,2006-0454
2010,2010-0193
2013,2013-0205
2014,2014-0326
1960,1960-0032
1962,1962-0007
1963,1963-0019
1964,1964-0068
1966,1966-0085
1968,1968-0051
1969,1969-0106
1970,1970-0065
1971,1971-0112
1972,1972-0063
1975,1975-0058
1976,1976-0144
1976,1976-0146
1976,1976-0074
1977,1977-0133
1978,1978-0044
1978,1978-0224
1979,1979-0225
1980,1980-0228
1981,1981-0207
1983,1983-0087
1984,1984-0318
1984,1984-0322
1984,1984-0228
1985,1985-0343
1985,1985-0131
1986,1986-0062
1986,1986-0256
1987,1987-0360
1987,1987-0206
1988,1988-0438
1990,1990-0630
1990,1990-0714
1990,1990-0414
1991,1991-0338
1991,1991-0278
1991,1991-0189
1991,1991-0532
1991,1991-0374
1992,1992-0097
1992,1992-0083
1992,1992-0147
1992,1992-0483
1993,1993-0138
1993,1993-0042
1994,1994-0762
1994,1994-0763
1994,1994-0352
1995,1995-0228
1995,1995-0485
1996,1996-0106
1996,1996-0496
1996,1996-0181
1996,1996-0501
1996,1996-0245
1997,1997-0170
1998,1998-0450
1998,1998-0313
1999,1999-0177
1999,1999-0213
2000,2000-0332
2000,2000-0445
2001,2001-0729
2001,2001-0243
2002,2002-0374
2002,2002-0490
2002,2002-0539
2002,2002-0729
2003,2003-0089
2003,2003-0099
2003,2003-0182
2003,2003-0283
2003,2003-0387
2003,2003-0719
2003,2003-0720
2004,2004-0734
2004,2004-0489
2004,2004-0509
2005,2005-0191
2005,2005-0291
2005,2005-0314
2005,2005-0746
2005,2005-0354
2005,2005-0409
2005,2005-0471
2005,2005-0539
2005,2005-0677
2006,2006-0731
2006,2006-0262
2006,2006-0389
2006,2006-0417
2006,2006-0712
2006,2006-0548
2006,2006-0510
2006,2006-0601
2007,2007-0683
2007,2007-0238
2007,2007-0320
2007,2007-0602
2007,2007-0311
2007,2007-0364
2007,2007-0524
2008,2008-0130
2008,2008-0285
2008,2008-0423
2009,2009-0130
2009,2009-0240
2009,2009-0303
2009,2009-0443
2009,2009-0483
2010,2010-0171
2010,2010-0177
2010,2010-0321
2010,2010-0373
2010,2010-0428
2010,2010-0416
2010,2010-0493
2011,2011-0647
2011,2011-0566
2012,2012-0334
2012,2012-0322
2012,2012-0382
2012,2012-0425
2013,2013-0192
2013,2013-0482
2013,2013-0401
2014,2014-0551
2014,2014-0106
2014,2014-0182
2014,2014-0218
2014,2014-0268
2014,2014-0392
2015,2015-0126
2015,2015-0107
2015,2015-0118
2015,2015-0253
1966,1966-0036
1967,1967-0013
1967,1967-0076
1976,1976-0073
1977,1977-0091
1979,1979-0028
1980,1980-0110
1981,1981-0051
1981,1981-0113
1982,1982-0134
1984,1984-0327
1984,1984-0121
1985,1985-0009
1985,1985-0062
1986,1986-0222
1986,1986-0126
1987,1987-0232
1988,1988-0504
1988,1988-0494
1989,1989-0262
1990,1990-0709
1991,1991-0512
1994,1994-0104
1995,1995-0029
1995,1995-0079
1996,1996-0082
1996,1996-0118
1996,1996-0286
1999,1999-0002
2000,2000-0258
2001,2001-0051
2001,2001-0719
2002,2002-0035
2002,2002-0236
2003,2003-0067
2003,2003-0074
2003,2003-0118
2003,2003-0776
2004,2004-0062
2004,2004-0098
2004,2004-0144
2005,2005-0223
2005,2005-0718
2006,2006-0192
2006,2006-0343
2006,2006-0328
2008,2008-0052
2008,2008-0042
2008,2008-0067
2008,2008-0092
2008,2008-0383
2009,2009-0063
2009,2009-0121
2009,2009-0352
2009,2009-0540
2010,2010-0075
2010,2010-0301
2011,2011-0088
2011,2011-0603
2012,2012-0558
2012,2012-0266
2012,2012-0582
2012,2012-0378
2012,2012-0426
2012,2012-0539
2013,2013-0007
2013,2013-0063
2013,2013-0560
2013,2013-0126
2013,2013-0267
2013,2013-0364
2013,2013-0541
2014,2014-0056
2014,2014-0057
2014,2014-0473
2015,2015-0077
1969,1969-0064
1975,1975-0030
1981,1981-0048
1986,1986-0129
1987,1987-0133
1987,1987-0412
1988,1988-0392
1990,1990-0412
1991,1991-0030
1991,1991-0763
1991,1991-0542
1991,1991-0549
1992,1992-0073
1992,1992-0074
1992,1992-0476
1993,1993-0004
1993,1993-0162
1993,1993-0219
1994,1994-0069
1994,1994-0511
1995,1995-0466
1995,1995-0094
1996,1996-0476
1996,1996-0465
1997,1997-0563
1997,1997-0561
1998,1998-0157
1998,1998-0320
1999,1999-0235
1999,1999-0275
2000,2000-0009
2000,2000-0499
2000,2000-0618
2000,2000-0862
2001,2001-0180
2001,2001-0375
2001,2001-0453
2001,2001-0545
2002,2002-0020
2002,2002-0218
2002,2002-0500
2003,2003-0232
2004,2004-0084
2004,2004-0626
2005,2005-0084
2005,2005-0113
2005,2005-0414
2005,2005-0426
2005,2005-0436
2006,2006-0245
2007,2007-0242
2008,2008-0417
2014,2014-0171
2015,2015-0258
2004,2004-0012
2006,2006-0065
2008,2008-0523
2011,2011-0184
2012,2012-0491
2013,2013-0504
1993,1993-0170
2002,2002-0773
2004,2004-0596
2009,2009-0497
2011,2011-0453
1997,1997-0250
1998,1998-0435
2000,2000-0094
2010,2010-0021
2013,2013-0524
1966,1966-0086
1970,1970-0055
1978,1978-0082
1992,1992-0266
1992,1992-0376
1993,1993-0212
1994,1994-0179
1994,1994-0557
1996,1996-0235
1997,1997-0278
2000,2000-0671
2000,2000-0752
2001,2001-0536
2002,2002-0343
2002,2002-0472
2003,2003-0043
2003,2003-0433
2004,2004-0568
2008,2008-0216
2008,2008-0579
2009,2009-0014
2010,2010-0692
2010,2010-0582
2011,2011-0416
2011,2011-0436
2012,2012-0466
2014,2014-0448
1973,1973-0045
1985,1985-0133
1986,1986-0060
1988,1988-0061
1988,1988-0427
1991,1991-0128
1993,1993-0036
1994,1994-0516
2002,2002-0325
2002,2002-0656
2002,2002-0627
2004,2004-0415
2004,2004-0462
2005,2005-0382
2005,2005-0585
2006,2006-0656
2007,2007-0360
2007,2007-0523
2008,2008-0352
2010,2010-0501
2012,2012-0410
1961,1961-0011
1965,1965-0055
1966,1966-0052
1967,1967-0054
1968,1968-0058
1969,1969-0075
1971,1971-0047
1972,1972-0053
1974,1974-0162
1982,1982-0090
1982,1982-0092
1985,1985-0375
1987,1987-0193
1990,1990-0572
1990,1990-0407
1990,1990-0155
1991,1991-0384
1991,1991-0537
1991,1991-0539
1992,1992-0174
1992,1992-0314
1993,1993-0149
1994,1994-0787
1996,1996-0347
1997,1997-0214
1998,1998-0248
1998,1998-0297
1998,1998-0311
1999,1999-0243
1999,1999-0326
2000,2000-0274
2000,2000-0606
2000,2000-0576
2001,2001-0085
2001,2001-0454
2002,2002-0430
2003,2003-0343
2003,2003-0388
2004,2004-0276
2004,2004-0428
2004,2004-0445
2004,2004-0459
2004,2004-0492
2004,2004-0511
2004,2004-0524
2004,2004-0563
2005,2005-0464
2005,2005-0497
2005,2005-0723
2006,2006-0742
2006,2006-0378
2006,2006-0390
2006,2006-0504
2007,2007-0319
2007,2007-0262
2007,2007-0479
2007,2007-0457
2008,2008-0293
2009,2009-0316
2009,2009-0423
2010,2010-0311
2011,2011-0574
2011,2011-0663
2011,2011-0454
2011,2011-0352
2012,2012-0027
2012,2012-0574
2012,2012-0195
2012,2012-0451
2013,2013-0265
2013,2013-0326
2013,2013-0415
2013,2013-0396
2014,2014-0061
2014,2014-0068
2014,2014-0236
2014,2014-0316
2014,2014-0397
2014,2014-0396
2014,2014-0519
2014,2014-0487
1965,1965-0007
1966,1966-0035
1987,1987-0194
1991,1991-0342
1993,1993-0037
1995,1995-0302
2014,2014-0123
2015,2015-0154
1996,1996-0474
2001,2001-0032
2002,2002-0265
2002,2002-0689
2002,2002-0711
2002,2002-0800
2003,2003-0729
2004,2004-0152
2005,2005-0260
2005,2005-0526
2006,2006-0178
2006,2006-0234
2006,2006-0587
2006,2006-0624
2007,2007-0177
2007,2007-0408
2007,2007-0613
2008,2008-0129
2008,2008-0260
2008,2008-0483
2008,2008-0482
2008,2008-0518
2009,2009-0494
2010,2010-0094
2010,2010-0285
2011,2011-0423
2011,2011-0476
2011,2011-0504
2013,2013-0305
2013,2013-0123
2013,2013-0281
2015,2015-0158
2015,2015-0159
1995,1995-0182
1997,1997-0205
1998,1998-0272
2000,2000-0572
2001,2001-0410
2001,2001-0571
2002,2002-0561
2004,2004-0381
2006,2006-0361
2006,2006-0623
2007,2007-0352
2010,2010-0415
2011,2011-0331
2012,2012-0414
2013,2013-0243
1964,1964-0052
1965,1965-0043
1966,1966-0059
1969,1969-0084
1971,1971-0043
1977,1977-0079
1980,1980-0091
1984,1984-0074
1985,1985-0118
1987,1987-0130
1987,1987-0349
1990,1990-0075
1991,1991-0177
1992,1992-0485
1992,1992-0486
1994,1994-0175
1995,1995-0183
1996,1996-0109
1997,1997-0167
1998,1998-0219
1998,1998-0302
1999,1999-0398
2000,2000-0441
2000,2000-0535
2000,2000-0550
2001,2001-0010
2001,2001-0335
2001,2001-0403
2002,2002-0474
2002,2002-0557
2003,2003-0459
2004,2004-0120
2004,2004-0276
2004,2004-0381
2005,2005-0392
2006,2006-0361
2008,2008-0185
2010,2010-0479
2011,2011-0250
2011,2011-0426
2014,2014-0077
2014,2014-0314
2014,2014-0324
1997,1997-0276
1998,1998-0213
2007,2007-0195
2012,2012-0416
1969,1969-0086
1971,1971-0048
1992,1992-0470
1996,1996-0215
2008,2008-0452
2009,2009-0414
2011,2011-0218
2011,2011-0324
2013,2013-0417
1985,1985-0029
2001,2001-0690
2011,2011-0043
2014,2014-0438
1995,1995-0164
1998,1998-0331
2007,2007-0369
2007,2007-0404
2013,2013-0546
2002,2002-0782
2003,2003-0033
2003,2003-0585
2004,2004-0252
2005,2005-0450
2013,2013-0061
2015,2015-0023
1969,1969-0050
1986,1986-0144
2003,2003-0037
2004,2004-0029
2006,2006-0089
2006,2006-0687
2007,2007-0069
2008,2008-0111
2012,2012-0056
2015,2015-0057
1989,1989-0008
1991,1991-0048
1995,1995-0303
1997,1997-0025
1998,1998-0018
2001,2001-0710
2002,2002-0083
2002,2002-0808
2003,2003-0020
2003,2003-0728
2005,2005-0693
2005,2005-0715
2006,2006-0115
2006,2006-0649
2007,2007-0008
2007,2007-0040
2007,2007-0614
2007,2007-0585
2010,2010-0127
2011,2011-0102
2012,2012-0148
2012,2012-0598
2015,2015-0011
1970,1970-0070
1986,1986-0136
1988,1988-0509
1993,1993-0234
1997,1997-0559
1998,1998-0372
1999,1999-0003
2000,2000-0683
2001,2001-0505
2001,2001-0649
2001,2001-0693
2002,2002-0231
2003,2003-0774
2004,2004-0590
2005,2005-0506
2005,2005-0690
2006,2006-0113
2007,2007-0611
2008,2008-0634
2013,2013-0535
2014,2014-0494
1998,1998-0222
1999,1999-0345
2000,2000-0530
2001,2001-0524
2003,2003-0389
2005,2005-0297
2005,2005-0552
2006,2006-0445
2007,2007-0275
2007,2007-0293
2008,2008-0631
2010,2010-0456
2010,2010-0536
2013,2013-0310
1984,1984-0089
1991,1991-0762
1999,1999-0539
2001,2001-0483
2003,2003-0389
2005,2005-0559
2006,2006-0391
2007,2007-0402
2009,2009-0350
1967,1967-0080
1972,1972-0023
1975,1975-0018
1982,1982-0024
1983,1983-0156
1984,1984-0144
1985,1985-0156
1991,1991-0125
1994,1994-0008
2002,2002-0039
2013,2013-0079
1966,1966-0080
1967,1967-0079
1971,1971-0038
1973,1973-0031
1976,1976-0066
1980,1980-0087
1988,1988-0045
1988,1988-0631
1988,1988-0430
1990,1990-0393
1990,1990-0596
1991,1991-0403
1991,1991-0541
1992,1992-0342
1993,1993-0174
1993,1993-0060
1993,1993-0198
1993,1993-0204
1993,1993-0075
1995,1995-0165
1995,1995-0244
1995,1995-0256
1996,1996-0152
1996,1996-0198
1996,1996-0203
1996,1996-0467
1997,1997-0238
1997,1997-0243
1997,1997-0275
1998,1998-0055
1998,1998-0281
1998,1998-0289
1998,1998-0294
1998,1998-0448
1999,1999-0241
1999,1999-0285
1999,1999-0328
1999,1999-0391
2000,2000-0276
2000,2000-0333
2000,2000-0611
2000,2000-0643
2001,2001-0488
2001,2001-0735
2001,2001-0559
2001,2001-0562
2002,2002-0510
2002,2002-0638
2002,2002-0609
2002,2002-0647
2002,2002-0669
2003,2003-0712
2003,2003-0710
2003,2003-0688
2003,2003-0482
2003,2003-0474
2005,2005-0283
2005,2005-0524
2005,2005-0382
2005,2005-0470
2005,2005-0601
2005,2005-0567
2006,2006-0413
2007,2007-0360
2007,2007-0671
2007,2007-0435
2007,2007-0464
2007,2007-0521
2008,2008-0288
2008,2008-0304
2009,2009-0614
2009,2009-0367
2009,2009-0384
2009,2009-0561
2009,2009-0515
2009,2009-0477
2010,2010-0058
2010,2010-0260
2010,2010-0426
2010,2010-0494
2010,2010-0467
2010,2010-0503
2011,2011-0228
2011,2011-0241
2011,2011-0589
2011,2011-0267
2011,2011-0633
2011,2011-0460
2011,2011-0385
2011,2011-0392
2012,2012-0401
2012,2012-0276
2013,2013-0188
2013,2013-0348
2013,2013-0406
2013,2013-0358
2014,2014-0183
2014,2014-0325
2014,2014-0386
2014,2014-0385
2014,2014-0333
2014,2014-0417
2015,2015-0121
2015,2015-0187
1994,1994-0180
1999,1999-0194
2000,2000-0807
2005,2005-0519
2008,2008-0306
2010,2010-0278
1966,1966-0057
1991,1991-0347
1993,1993-0021
1994,1994-0214
1996,1996-0186
2001,2001-0155
2009,2009-0269
2007,2007-0562
2009,2009-0607
2010,2010-0594
2010,2010-0619
1979,1979-0249
1995,1995-0056
1996,1996-0149
2000,2000-0691
2001,2001-0694
2003,2003-0556
2006,2006-0267
2006,2006-0575
2006,2006-0585
2008,2008-0498
2009,2009-0590
2010,2010-0112
2014,2014-0008
2014,2014-0463
2014,2014-0490
1977,1977-0126
1984,1984-0018
1985,1985-0047
1994,1994-0035
1996,1996-0052
1997,1997-0026
1999,1999-0071
2002,2002-0163
2003,2003-0098
2003,2003-0114
2011,2011-0015
1965,1965-0060
1965,1965-0063
1967,1967-0068
1974,1974-0040
1991,1991-0168
1995,1995-0230
1997,1997-0177
2006,2006-0544
2007,2007-0186
2007,2007-0318
2007,2007-0409
2013,2013-0263
2014,2014-0412
2015,2015-0118
2015,2015-0253
2015,2015-0294
2003,2003-0220
2004,2004-0159
2006,2006-0108
2007,2007-0075
2008,2008-0060
2010,2010-0128
2011,2011-0081
2012,2012-0023
2013,2013-0011
1968,1968-0075
1986,1986-0210
1986,1986-0211
1988,1988-0119
1996,1996-0089
1998,1998-0282
2005,2005-0375
2006,2006-0342
2011,2011-0215
2012,2012-0186
2014,2014-0268
1992,1992-0555
1993,1993-0236
1997,1997-0125
1968,1968-0133
1976,1976-0108
1977,1977-0182
1981,1981-0172
1983,1983-0286
1985,1985-0392
1985,1985-0393
1986,1986-0396
1986,1986-0172
1987,1987-0267
1988,1988-0601
1988,1988-0609
1988,1988-0611
1988,1988-0697
1991,1991-0685
1991,1991-0686
1992,1992-0221
1994,1994-0693
1996,1996-0315
1997,1997-0037
1998,1998-0211
2003,2003-0490
2004,2004-0404
2005,2005-0144
2013,2013-0421
1968,1968-0062
1995,1995-0251
1996,1996-0102
1998,1998-0344
1999,1999-0363
2000,2000-0644
2000,2000-0875
2001,2001-0611
2002,2002-0850
2004,2004-0289
2005,2005-0567
2005,2005-0625
2007,2007-0503
2008,2008-0234
2008,2008-0457
2008,2008-0484
2009,2009-0234
2009,2009-0322
2010,2010-0273
2010,2010-0491
2010,2010-0503
2011,2011-0386
2013,2013-0370
2001,2001-0644
2002,2002-0497
2006,2006-0445
2007,2007-0389
2009,2009-0386
2010,2010-0295
2010,2010-0379
2011,2011-0419
2012,2012-0302
2013,2013-0336
2013,2013-0534
1978,1978-0046
1994,1994-0208
1998,1998-0249
1999,1999-0370
1999,1999-0430
2000,2000-0511
2000,2000-0547
2000,2000-0620
2000,2000-0628
2001,2001-0408
2001,2001-0494
2003,2003-0455
2004,2004-0268
2004,2004-0315
2004,2004-0434
2005,2005-0065
2005,2005-0423
2006,2006-0393
2006,2006-0445
2006,2006-0556
2007,2007-0419
2009,2009-0375
2010,2010-0509
2011,2011-0230
2011,2011-0214
2011,2011-0239
2012,2012-0553
2012,2012-0366
2014,2014-0211
1995,1995-0095
2000,2000-0688
2001,2001-0759
2008,2008-0320
1977,1977-0230
2002,2002-0285
2003,2003-0176
2007,2007-0164
1965,1965-0069
1967,1967-0049
1976,1976-0052
1983,1983-0440
1986,1986-0069
1992,1992-0062
1994,1994-0119
1994,1994-0151
1995,1995-0123
1995,1995-0471
1997,1997-0338
1997,1997-0183
1998,1998-0048
1998,1998-0184
1999,1999-0090
1999,1999-0262
1999,1999-0357
2001,2001-0267
2001,2001-0376
2002,2002-0330
2002,2002-0509
2002,2002-0628
2003,2003-0086
2003,2003-0387
2003,2003-0681
2004,2004-0734
2005,2005-0192
2005,2005-0746
2006,2006-0389
2006,2006-0733
2006,2006-0548
2007,2007-0255
2007,2007-0249
2007,2007-0245
2007,2007-0284
2007,2007-0412
2008,2008-0208
2008,2008-0591
2009,2009-0149
2009,2009-0266
2012,2012-0475
2012,2012-0325
2013,2013-0068
2013,2013-0276
2014,2014-0322
2015,2015-0124
2015,2015-0215
2015,2015-0282
2013,2013-0433
1964,1964-0051
1966,1966-0087
1970,1970-0022
1972,1972-0039
1978,1978-0131
1984,1984-0098
1991,1991-0213
1992,1992-0078
1995,1995-0482
1999,1999-0598
2001,2001-0281
2002,2002-0264
2002,2002-0755
2004,2004-0534
2005,2005-0021
2006,2006-0647
2008,2008-0409
2009,2009-0555
2010,2010-0028
2010,2010-0267
2010,2010-0666
2011,2011-0386
2014,2014-0278
1983,1983-0441
2006,2006-0205
2007,2007-0557
2008,2008-0575
2012,2012-0349
1990,1990-0011
1992,1992-0077
1995,1995-0032
1997,1997-0188
2002,2002-0296
2002,2002-0493
2008,2008-0503
2009,2009-0356
2009,2009-0450
2011,2011-0644
2012,2012-0089
2012,2012-0462
2013,2013-0214
2013,2013-0408
2014,2014-0142
1977,1977-0206
1977,1977-0135
1978,1978-0045
1982,1982-0025
1987,1987-0073
1988,1988-0093
1989,1989-0006
1990,1990-0322
1990,1990-0245
1992,1992-0156
1993,1993-0131
1994,1994-0017
1997,1997-0530
1999,1999-0160
1999,1999-0704
2000,2000-0129
2001,2001-0271
2001,2001-0703
2002,2002-0187
2002,2002-0708
2004,2004-0200
2007,2007-0039
2010,2010-0065
2011,2011-0556
2013,2013-0056
2013,2013-0578
2014,2014-0534
1960,1960-0012
1960,1960-0019
1960,1960-0020
1960,1960-0028
1960,1960-0029
1964,1964-0037
1964,1964-0065
1965,1965-0042
1966,1966-0091
1967,1967-0071
1968,1968-0024
1968,1968-0065
1968,1968-0083
1970,1970-0043
1970,1970-0056
1970,1970-0064
1972,1972-0040
1972,1972-0064
1973,1973-0083
1973,1973-0044
1973,1973-0049
1974,1974-0079
1974,1974-0029
1974,1974-0038
1974,1974-0052
1974,1974-0054
1974,1974-0058
1975,1975-0077
1975,1975-0080
1976,1976-0091
1976,1976-0038
1976,1976-0095
1977,1977-0161
1978,1978-0168
1978,1978-0159
1978,1978-0124
1978,1978-0126
1979,1979-0138
1980,1980-0099
1981,1981-0062
1981,1981-0150
1981,1981-0097
1981,1981-0112
1982,1982-0180
1982,1982-0037
1982,1982-0195
1982,1982-0101
1983,1983-0254
1983,1983-0255
1984,1984-0073
1984,1984-0185
1984,1984-0105
1985,1985-0342
1985,1985-0124
1986,1986-0155
1986,1986-0080
1986,1986-0104
1987,1987-0146
1987,1987-0197
1987,1987-0212
1988,1988-0477
1988,1988-0506
1989,1989-0094
1989,1989-0120
1989,1989-0129
1989,1989-0127
1989,1989-0125
1989,1989-0126
1989,1989-0132
1990,1990-0616
1990,1990-0122
1991,1991-0517
1991,1991-0521
1991,1991-0174
1991,1991-0525
1991,1991-0533
1991,1991-0382
1991,1991-0383
1991,1991-0379
1992,1992-0295
1992,1992-0296
1992,1992-0491
1992,1992-0492
1993,1993-0113
1993,1993-0055
1993,1993-0054
1993,1993-0077
1993,1993-0087
1993,1993-0228
1994,1994-0010
1994,1994-0034
1994,1994-0128
1994,1994-0168
1994,1994-0073
1994,1994-0756
1994,1994-0072
1994,1994-0313
1994,1994-0071
1994,1994-0778
1994,1994-0074
1994,1994-0215
1994,1994-0519
1994,1994-0594
1995,1995-0161
1995,1995-0187
1995,1995-0199
1995,1995-0247
1995,1995-0272
1995,1995-0271
1995,1995-0282
1995,1995-0291
1995,1995-0290
1995,1995-0304
1995,1995-0306
1996,1996-0157
1996,1996-0108
1996,1996-0257
1997,1997-0567
1997,1997-0203
1998,1998-0296
1998,1998-0309
1998,1998-0404
1999,1999-0053
1999,1999-0083
1999,1999-0723
1999,1999-0724
1999,1999-0725
1999,1999-0253
1999,1999-0726
1999,1999-0727
1999,1999-0390
1999,1999-0728
1999,1999-0729
2000,2000-0038
2000,2000-0257
2000,2000-0396
2000,2000-0397
2000,2000-0597
2000,2000-0706
2000,2000-0715
2000,2000-0788
2001,2001-0059
2001,2001-0054
2001,2001-0445
2001,2001-0792
2001,2001-0793
2001,2001-0614
2001,2001-0758
2002,2002-0005
2002,2002-0875
2002,2002-0176
2002,2002-0528
2002,2002-0408
2002,2002-0877
2002,2002-0532
2002,2002-0878
2002,2002-0499
2003,2003-0258
2003,2003-0290
2003,2003-0822
2003,2003-0346
2003,2003-0823
2003,2003-0824
2003,2003-0825
2003,2003-0826
2004,2004-0028
2004,2004-0218
2004,2004-0267
2004,2004-0309
2004,2004-0435
2004,2004-0580
2004,2004-0602
2004,2004-0618
2005,2005-0120
2005,2005-0284
2005,2005-0540
2006,2006-0040
2006,2006-0137
2006,2006-0251
2006,2006-0415
2006,2006-0388
2006,2006-0410
2006,2006-0517
2006,2006-0605
2006,2006-0600
2006,2006-0610
2006,2006-0648
2006,2006-0667
2007,2007-0022
2007,2007-0346
2007,2007-0380
2007,2007-0457
2007,2007-0668
2007,2007-0463
2007,2007-0576
2007,2007-0577
2008,2008-0155
2008,2008-0197
2008,2008-0347
2008,2008-0249
2008,2008-0292
2008,2008-0329
2008,2008-0608
2008,2008-0369
2008,2008-0426
2008,2008-0623
2008,2008-0571
2009,2009-0026
2009,2009-0174
2009,2009-0193
2009,2009-0194
2009,2009-0267
2009,2009-0239
2009,2009-0606
2009,2009-0321
2009,2009-0422
2009,2009-0478
2009,2009-0521
2010,2010-0033
2010,2010-0232
2010,2010-0371
2010,2010-0585
2011,2011-0044
2011,2011-0087
2011,2011-0592
2011,2011-0157
2011,2011-0204
2011,2011-0203
2011,2011-0231
2011,2011-0272
2011,2011-0301
2011,2011-0341
2011,2011-0379
2011,2011-0378
2011,2011-0380
2011,2011-0384
2011,2011-0468
2011,2011-0519
2011,2011-0542
2011,2011-0540
2012,2012-0009
2012,2012-0078
2012,2012-0396
2012,2012-0172
2012,2012-0171
2012,2012-0602
2012,2012-0260
2012,2012-0272
2012,2012-0296
2012,2012-0434
2012,2012-0463
2012,2012-0500
2012,2012-0540
2013,2013-0036
2013,2013-0019
2013,2013-0378
2013,2013-0258
2013,2013-0340
2013,2013-0272
2013,2013-0418
2013,2013-0434
2013,2013-0430
2013,2013-0437
2013,2013-0433
2014,2014-0055
2014,2014-0240
2014,2014-0390
2014,2014-0479
2014,2014-0497
2015,2015-0017
2015,2015-0105
2015,2015-0278
1998,1998-0225
2004,2004-0369
2005,2005-0011
2005,2005-0131
2007,2007-0391
2009,2009-0228
2010,2010-0193
2012,2012-0206
1996,1996-0006
1996,1996-0281
2001,2001-0040
2002,2002-0814
2003,2003-0001
2010,2010-0088
2013,2013-0155
2013,2013-0530
2014,2014-0008
1992,1992-0006
1996,1996-0201
2001,2001-0307
2003,2003-0238
2004,2004-0231
2007,2007-0612
1991,1991-0172
1993,1993-0163
1995,1995-0475
1997,1997-0166
1998,1998-0193
2000,2000-0187
2001,2001-0079
2002,2002-0447
2002,2002-0471
2003,2003-0001
2004,2004-0257
2004,2004-0336
2004,2004-0356
2004,2004-0365
2004,2004-0444
2005,2005-0131
2005,2005-0214
2005,2005-0337
2005,2005-0365
2005,2005-0473
2006,2006-0156
2006,2006-0320
2006,2006-0312
2006,2006-0335
2007,2007-0068
2007,2007-0340
2007,2007-0393
2007,2007-0421
2008,2008-0082
2008,2008-0306
2010,2010-0251
2013,2013-0347
1994,1994-0088
1994,1994-0758
1994,1994-0775
1995,1995-0040
1995,1995-0130
1996,1996-0359
1998,1998-0121
1998,1998-0166
1998,1998-0194
1999,1999-0299
2000,2000-0202
2000,2000-0278
2001,2001-0227
2001,2001-0257
2001,2001-0388
2002,2002-0048
2002,2002-0376
2004,2004-0164
2004,2004-0172
2004,2004-0266
2004,2004-0388
2005,2005-0011
2005,2005-0276
2006,2006-0306
2006,2006-0360
2007,2007-0037
2011,2011-0340
2012,2012-0111
2013,2013-0303
2013,2013-0278
2014,2014-0193
2003,2003-0563
2011,2011-0183
1966,1966-0108
1968,1968-0114
1989,1989-0002
1990,1990-0003
1991,1991-0364
2001,2001-0274
2004,2004-0004
1964,1964-0023
2005,2005-0028
2005,2005-0228
2010,2010-0338
2010,2010-0297
2012,2012-0188
2013,2013-0159
2013,2013-0445
2015,2015-0130
1966,1966-0030
1983,1983-0086
1994,1994-0522
1999,1999-0292
2000,2000-0507
2003,2003-0389
2004,2004-0233
2007,2007-0427
2008,2008-0410
2009,2009-0344
2010,2010-0420
2010,2010-0580
2011,2011-0546
2012,2012-0318
2013,2013-0368
2010,2010-0619
2014,2014-0128
1992,1992-0165
2000,2000-0868
2006,2006-0156
1997,1997-0207
2002,2002-0590
2013,2013-0026
2014,2014-0058
1996,1996-0173
2009,2009-0332
1999,1999-0233
2002,2002-0513
2004,2004-0369
2004,2004-0584
2005,2005-0131
2006,2006-0156
2010,2010-0217
2013,2013-0205
2014,2014-0359
1966,1966-0088
1985,1985-0043
1986,1986-0065
1993,1993-0007
2002,2002-0811
2003,2003-0314
2009,2009-0039
2010,2010-0054
2010,2010-0120
2012,2012-0242
2013,2013-0420
2014,2014-0091
1994,1994-0573
1995,1995-0317
1997,1997-0106
1997,1997-0265
2000,2000-0490
2000,2000-0778
2001,2001-0653
2002,2002-0715
2003,2003-0204
2004,2004-0499
2005,2005-0309
2006,2006-0229
2006,2006-0422
2006,2006-0550
2006,2006-0624
2007,2007-0425
2007,2007-0559
2008,2008-0506
2011,2011-0476
2012,2012-0508
2012,2012-0472
2013,2013-0288
1968,1968-0070
1974,1974-0012
1984,1984-0019
1987,1987-0166
1990,1990-0347
1993,1993-0137
1993,1993-0215
1996,1996-0010
1996,1996-0027
1997,1997-0033
1998,1998-0413
