year,disasterno
2004,2004-0178
2004,2004-0321
2004,2004-0298
2005,2005-0290
2005,2005-0361
2005,2005-0335
2005,2005-0398
2005,2005-0375
2005,2005-0399
2005,2005-0541
2005,2005-0603
2005,2005-0599
2005,2005-0627
2006,2006-0207
2006,2006-0342
2006,2006-0370
2006,2006-0369
2006,2006-0469
2006,2006-0549
2007,2007-0225
2007,2007-0250
2007,2007-0240
2007,2007-0596
2007,2007-0469
2007,2007-0467
2008,2008-0246
2008,2008-0615
2008,2008-0486
2008,2008-0415
2008,2008-0560
2009,2009-0204
2009,2009-0638
2009,2009-0429
2010,2010-0694
2010,2010-0198
2010,2010-0688
2010,2010-0276
2010,2010-0492
2010,2010-0629
2011,2011-0428
2011,2011-0422
2011,2011-0371
2012,2012-0179
2012,2012-0354
2013,2013-0282
2013,2013-0260
2013,2013-0345
2013,2013-0515
2014,2014-0408
2014,2014-0391
2015,2015-0164
2015,2015-0249
1989,1989-0159
1990,1990-0005
1993,1993-0560
1994,1994-0012
1994,1994-0626
1996,1996-0246
2000,2000-0770
2000,2000-0791
2001,2001-0715
2002,2002-0054
2002,2002-0732
2003,2003-0531
2003,2003-0593
2006,2006-0074
2006,2006-0099
2006,2006-0311
2006,2006-0332
2006,2006-0680
2007,2007-0050
2007,2007-0312
2007,2007-0447
2007,2007-0610
2008,2008-0013
2008,2008-0108
2008,2008-0128
2008,2008-0526
2010,2010-0512
2011,2011-0023
2011,2011-0094
2012,2012-0432
2013,2013-0553
2014,2014-0018
2014,2014-0038
2014,2014-0081
1989,1989-0041
1991,1991-0434
1996,1996-0121
1998,1998-0085
1999,1999-0276
2004,2004-0012
2007,2007-0164
2012,2012-0471
2006,2006-0599
2009,2009-0489
1968,1968-0081
1987,1987-0347
2002,2002-0740
2014,2014-0026
2014,2014-0045
2005,2005-0116
2008,2008-0095
2010,2010-0291
2011,2011-0178
2012,2012-0059
2008,2008-0127
2009,2009-0597
2012,2012-0166
1996,1996-0105
1999,1999-0248
2011,2011-0279
2012,2012-0258
1999,1999-0247
2005,2005-0497
2005,2005-0359
2009,2009-0612
2015,2015-0002
2010,2010-0280
2005,2005-0429
1983,1983-0157
1996,1996-0060
2002,2002-0146
2003,2003-0602
2005,2005-0097
2007,2007-0095
2008,2008-0043
1996,1996-0282
2000,2000-0774
2003,2003-0604
2003,2003-0655
2004,2004-0050
2004,2004-0635
2006,2006-0680
2007,2007-0021
2008,2008-0570
2009,2009-0610
2009,2009-0511
2002,2002-0468
2011,2011-0462
2013,2013-0366
2002,2002-0056
2007,2007-0339
2010,2010-0523
2013,2013-0374
1993,1993-0009
2004,2004-0141
2005,2005-0585
2006,2006-0483
2006,2006-0505
2009,2009-0377
2013,2013-0335
2003,2003-0351
1995,1995-0177
1995,1995-0196
1996,1996-0014
1997,1997-0236
2000,2000-0841
2002,2002-0734
2008,2008-0093
2010,2010-0613
2000,2000-0012
2000,2000-0178
2000,2000-0786
2005,2005-0075
2005,2005-0715
2008,2008-0111
2008,2008-0628
2010,2010-0097
2012,2012-0006
1994,1994-0615
2006,2006-0241
2012,2012-0319
2009,2009-0092
1990,1990-0399
2014,2014-0416
2013,2013-0517
2004,2004-0067
2005,2005-0302
2015,2015-0256
1993,1993-0053
2007,2007-0439
2009,2009-0477
2011,2011-0598
1998,1998-0308
2007,2007-0595
2011,2011-0343
1981,1981-0244
1989,1989-0270
1994,1994-0075
1995,1995-0156
1996,1996-0192
1997,1997-0156
2006,2006-0414
2007,2007-0241
2007,2007-0348
2008,2008-0350
2010,2010-0210
2015,2015-0145
1988,1988-0478
2004,2004-0476
2008,2008-0551
2010,2010-0592
2012,2012-0480
2004,2004-0104
2006,2006-0082
2015,2015-0184
2001,2001-0117
2002,2002-0077
2003,2003-0051
2003,2003-0644
2008,2008-0064
2014,2014-0040
1985,1985-0190
1986,1986-0122
1990,1990-0027
2004,2004-0087
2004,2004-0311
2004,2004-0609
2005,2005-0669
2006,2006-0702
2007,2007-0525
2007,2007-0553
2007,2007-0665
2008,2008-0611
2008,2008-0077
2008,2008-0609
2008,2008-0620
2008,2008-0621
2008,2008-0622
2008,2008-0540
2008,2008-0545
2009,2009-0023
2009,2009-0027
2009,2009-0165
2009,2009-0289
2009,2009-0265
2009,2009-0311
2009,2009-0360
2009,2009-0373
2009,2009-0374
2009,2009-0414
2010,2010-0020
2010,2010-0308
2010,2010-0383
2010,2010-0488
2010,2010-0543
2010,2010-0659
2011,2011-0021
2011,2011-0562
2011,2011-0555
2011,2011-0221
2011,2011-0279
2011,2011-0469
2012,2012-0042
2012,2012-0374
2013,2013-0274
2013,2013-0373
2014,2014-0020
2014,2014-0250
2014,2014-0227
2014,2014-0571
2014,2014-0414
2014,2014-0330
2014,2014-0474
2015,2015-0176
2015,2015-0283
1997,1997-0143
2001,2001-0390
2006,2006-0302
2009,2009-0273
2010,2010-0380
2008,2008-0074
2005,2005-0545
2006,2006-0209
2000,2000-0549
2002,2002-0024
2002,2002-0482
2003,2003-0393
2005,2005-0285
2010,2010-0153
2010,2010-0547
2011,2011-0200
2011,2011-0306
2012,2012-0213
1988,1988-0201
2001,2001-0672
2002,2002-0273
2007,2007-0059
2007,2007-0442
2008,2008-0485
2012,2012-0130
2015,2015-0153
2002,2002-0026
2005,2005-0448
2007,2007-0562
2009,2009-0530
2010,2010-0101
2013,2013-0061
2014,2014-0164
2014,2014-0329
2005,2005-0443
1998,1998-0224
2006,2006-0302
2007,2007-0458
2012,2012-0551
2000,2000-0259
2003,2003-0447
2005,2005-0215
2006,2006-0618
2009,2009-0532
2013,2013-0438
2014,2014-0456
2000,2000-0917
2001,2001-0664
2009,2009-0007
2011,2011-0409
1991,1991-0307
1973,1973-0046
1982,1982-0113
1996,1996-0281
1997,1997-0237
2000,2000-0699
2000,2000-0837
2006,2006-0617
