Gas,Year,Data
CH[4],1981,13765.35034388269
CH[4],1982,13942.115809945515
CH[4],1983,13974.923585979363
CH[4],1984,14172.662123488968
CH[4],1985,14401.239458761622
CH[4],1986,14586.754693749655
CH[4],1987,14747.168061421069
CH[4],1988,15002.189376961403
CH[4],1989,15350.051599353399
CH[4],1990,15550.005101178693
CH[4],1991,15489.412767434187
CH[4],1992,15488.262653386488
CH[4],1993,15523.302701593542
CH[4],1994,15665.600070782264
CH[4],1995,15897.710209084471
CH[4],1996,16057.359776413214
CH[4],1997,16056.631927145872
CH[4],1998,15958.258532018444
CH[4],1999,16050.638016185358
CH[4],2000,16349.570162276941
CH[4],2001,16371.599394319423
CH[4],2002,16363.66249660619
CH[4],2003,16798.450874199207
CH[4],2004,17158.022335955713
CH[4],2005,17463.622347346918
CH[4],2006,17777.132918684958
CH[4],2007,17924.348789351247
CH[4],2008,18131.994351039135
CH[4],2009,18040.63436392559
CH[4],2010,18359.02728330104
CH[4],2011,18808.85938082191
CH[4],2012,19042.258787649793
CH[4],2013,19013.748873893244
CH[4],2014,19190.786950671984
CH[4],2015,19284.43028874199
CH[4],2016,19351.120078682747
CH[4],2017,19647.568617850637
CH[4],2018,19809.18832521762
CH[4],2019,20006.918521601434
CH[4],2020,20109.30332410976
CH[4],2021,20363.075000567547
CO[2],1830,178.24626800000001
CO[2],1831,169.05696
CO[2],1832,170.22211000000001
CO[2],1833,173.614972
CO[2],1834,176.97119999999998
CO[2],1835,180.89168
CO[2],1836,209.551488
CO[2],1837,209.38294399999998
CO[2],1838,216.088064
CO[2],1839,223.225536
CO[2],1840,237.859552
CO[2],1841,245.23884800000002
CO[2],1842,259.00816
CO[2],1843,265.705952
CO[2],1844,282.84614400000004
CO[2],1845,310.421408
CO[2],1846,315.587648
CO[2],1847,344.804384
CO[2],1848,347.632992
CO[2],1849,367.02288
CO[2],1850,5232.86129066666
CO[2],1851,5413.027498666659
CO[2],1852,5506.852768000001
CO[2],1853,5640.828149333341
CO[2],1854,5761.29069866666
CO[2],1855,5798.20183666666
CO[2],1856,5896.35306666666
CO[2],1857,5949.168405333339
CO[2],1858,6019.971538
CO[2],1859,6114.07317266666
CO[2],1860,5950.266552
CO[2],1861,5735.398774666661
CO[2],1862,5707.568078
CO[2],1863,5755.36827333334
CO[2],1864,5748.35502733334
CO[2],1865,5741.788786666661
CO[2],1866,5748.07063333334
CO[2],1867,5813.458734666659
CO[2],1868,5807.99448733334
CO[2],1869,5820.64261733334
CO[2],1870,6199.44891533334
CO[2],1871,6491.04469733334
CO[2],1872,6722.81467133334
CO[2],1873,6942.66933333334
CO[2],1874,6959.83150933334
CO[2],1875,7121.23803933334
CO[2],1876,7219.48453333334
CO[2],1877,7339.03108466666
CO[2],1878,7449.21661866666
CO[2],1879,7628.760985999999
CO[2],1880,7897.38313333334
CO[2],1881,7947.90770466666
CO[2],1882,8171.126698
CO[2],1883,8411.15130133334
CO[2],1884,8472.98179266666
CO[2],1885,8495.95126533334
CO[2],1886,8583.88731866666
CO[2],1887,8792.915669333339
CO[2],1888,9021.073602
CO[2],1889,9062.63155
CO[2],1890,9518.615464
CO[2],1891,9831.57484266666
CO[2],1892,9925.756828000001
CO[2],1893,10028.913176666661
CO[2],1894,10193.810803333341
CO[2],1895,10443.602906
CO[2],1896,10607.12106333334
CO[2],1897,10828.02972466666
CO[2],1898,11066.89540333334
CO[2],1899,11463.75574133334
CO[2],1900,11895.29766266666
CO[2],1901,12123.91853666666
CO[2],1902,12356.761052000002
CO[2],1903,12755.121052
CO[2],1904,12931.554216
CO[2],1905,13297.96020933334
CO[2],1906,13543.40925066666
CO[2],1907,14325.961082666661
CO[2],1908,14165.797958666659
CO[2],1909,14445.14811866666
CO[2],1910,14692.182639999999
CO[2],1911,14765.50778733334
CO[2],1912,14952.84588933334
CO[2],1913,15463.46699666666
CO[2],1914,14801.900526000001
CO[2],1915,14621.723664
CO[2],1916,15015.65411
CO[2],1917,15324.474412
CO[2],1918,15269.397492
CO[2],1919,14287.40398466666
CO[2],1920,15541.640042666659
CO[2],1921,14896.439407333339
CO[2],1922,15308.84463333334
CO[2],1923,16204.16815733334
CO[2],1924,16284.475432
CO[2],1925,16475.40003666666
CO[2],1926,16317.927918
CO[2],1927,17011.524436666663
CO[2],1928,17011.29640266666
CO[2],1929,17604.09272133334
CO[2],1930,16985.37001466666
CO[2],1931,16274.281371333342
CO[2],1932,15688.56281066666
CO[2],1933,16075.628175999998
CO[2],1934,16729.380208
CO[2],1935,17091.08644266666
CO[2],1936,17893.328032666657
CO[2],1937,18478.01139133334
CO[2],1938,17996.938999333343
CO[2],1939,18499.29789333334
