,Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
77,1957,0.05,0.04,0.05,0.03,0.08,0.02,0.09,0.22,-0.11,0.05,0.1,-0.09,-0.02,0.49
78,1958,0.06,0.15,-0.03,0.08,0.2,-0.15,-0.17,0.14,0.12,0.26,0.15,-0.08,-0.08,-0.53
79,1959,0.03,0.12,-0.06,0.16,0.07,-0.16,0.49,0.18,0.04,0.07,0.08,-0.03,-0.26,-0.36
80,1960,-0.03,0.08,-0.13,0.09,0.02,-0.2,0.33,-0.07,0.11,0.06,-0.02,-0.1,-0.07,-0.75
81,1961,0.06,0.09,0.03,0.19,-0.03,0.05,-0.15,0.38,0.18,-0.07,0.0,0.14,-0.17,0.21
82,1962,0.03,0.13,-0.06,0.24,-0.05,-0.08,0.44,0.31,0.14,-0.04,-0.05,0.09,-0.07,-0.65
83,1963,0.05,0.14,-0.03,0.14,0.12,-0.12,-0.16,0.31,0.13,0.14,0.1,-0.1,-0.17,-0.03
84,1964,-0.2,-0.19,-0.2,-0.23,-0.14,-0.24,-0.66,-0.2,-0.12,-0.14,-0.14,-0.3,-0.07,-0.38
85,1965,-0.11,-0.14,-0.07,-0.18,-0.03,-0.13,-0.28,-0.24,-0.12,-0.08,0.02,-0.23,-0.03,-0.01
86,1966,-0.06,-0.02,-0.09,-0.14,0.08,-0.15,-0.76,-0.19,0.09,0.16,-0.01,-0.23,-0.14,0.11
87,1967,-0.02,0.03,-0.08,0.12,-0.14,-0.01,0.36,0.26,-0.05,-0.11,-0.17,-0.09,-0.02,0.3
88,1968,-0.08,-0.07,-0.09,-0.11,-0.07,-0.08,-0.33,-0.02,-0.08,-0.02,-0.11,-0.14,0.0,-0.08
89,1969,0.05,-0.03,0.14,-0.29,0.33,0.02,-0.04,-0.61,-0.17,0.35,0.32,0.0,0.13,-0.14
90,1970,0.03,-0.04,0.09,-0.11,0.06,0.11,-0.21,-0.13,-0.06,0.07,0.06,0.11,0.03,0.31
91,1971,-0.08,-0.15,-0.02,-0.06,-0.26,0.13,-0.08,0.01,-0.1,-0.3,-0.22,0.03,0.16,0.44
92,1972,0.01,-0.18,0.2,-0.34,0.16,0.14,-0.36,-0.47,-0.25,0.06,0.26,0.16,-0.02,0.45
93,1973,0.16,0.09,0.23,0.1,0.19,0.18,0.07,0.27,0.01,0.08,0.3,0.22,0.08,0.34
94,1974,-0.07,-0.18,0.03,-0.15,-0.2,0.18,-0.19,-0.07,-0.18,-0.23,-0.17,0.22,-0.08,0.65
95,1975,-0.01,-0.06,0.02,0.12,-0.24,0.16,0.09,0.39,-0.05,-0.31,-0.17,0.13,0.14,0.29
96,1976,-0.1,-0.21,0.01,-0.26,-0.12,0.09,-0.08,-0.32,-0.28,-0.13,-0.1,0.1,0.22,-0.24
97,1977,0.18,0.12,0.24,0.13,0.16,0.25,0.16,0.24,0.06,0.09,0.22,0.22,0.31,0.28
98,1978,0.07,0.02,0.11,-0.04,0.07,0.16,-0.16,0.04,-0.04,0.1,0.05,0.21,0.13,0.04
99,1979,0.16,0.08,0.25,-0.03,0.26,0.23,-0.6,0.07,0.08,0.25,0.27,0.3,0.33,-0.2
100,1980,0.26,0.17,0.35,0.06,0.31,0.39,0.25,0.02,0.02,0.32,0.29,0.35,0.37,0.59
101,1981,0.32,0.37,0.27,0.47,0.18,0.36,1.09,0.78,0.08,0.22,0.14,0.28,0.39,0.61
102,1982,0.14,0.05,0.23,-0.08,0.27,0.18,-0.4,0.09,-0.09,0.25,0.29,0.19,0.32,-0.11
103,1983,0.31,0.25,0.38,0.22,0.43,0.25,0.19,0.69,-0.07,0.29,0.58,0.21,0.41,0.05
104,1984,0.16,0.04,0.28,0.01,0.18,0.26,0.36,0.08,-0.14,0.07,0.3,0.16,0.32,0.51
105,1985,0.12,0.0,0.24,-0.03,0.09,0.3,0.39,-0.27,-0.02,0.04,0.14,0.3,0.44,0.04
106,1986,0.18,0.13,0.23,0.1,0.22,0.2,0.01,0.28,0.03,0.17,0.27,0.25,0.25,-0.11
107,1987,0.32,0.24,0.4,0.04,0.58,0.25,-0.36,0.13,0.12,0.55,0.62,0.32,0.25,0.0
108,1988,0.39,0.37,0.41,0.4,0.37,0.39,0.59,0.57,0.24,0.32,0.42,0.38,0.2,0.88
109,1989,0.27,0.27,0.27,0.4,0.13,0.34,0.33,0.69,0.25,0.07,0.19,0.36,0.3,0.36
110,1990,0.45,0.53,0.37,0.63,0.37,0.37,0.58,0.88,0.48,0.38,0.36,0.38,0.37,0.35
111,1991,0.4,0.41,0.4,0.47,0.36,0.39,0.75,0.66,0.26,0.32,0.4,0.31,0.29,0.95
112,1992,0.22,0.13,0.31,0.09,0.28,0.27,-0.16,0.44,-0.04,0.19,0.36,0.2,0.33,0.4
113,1993,0.23,0.19,0.28,0.13,0.32,0.22,0.55,0.29,-0.11,0.28,0.35,0.27,0.39,-0.31
114,1994,0.31,0.37,0.26,0.43,0.31,0.21,0.35,0.5,0.41,0.28,0.34,0.27,0.23,-0.05
115,1995,0.45,0.58,0.32,0.7,0.42,0.22,1.32,0.98,0.31,0.4,0.44,0.29,0.15,0.14
116,1996,0.33,0.26,0.39,0.23,0.32,0.43,0.77,0.17,0.1,0.31,0.32,0.33,0.28,1.19
117,1997,0.46,0.52,0.41,0.53,0.51,0.33,0.77,0.9,0.22,0.5,0.52,0.42,0.36,-0.04
118,1998,0.61,0.71,0.51,0.78,0.69,0.32,0.87,0.94,0.65,0.6,0.79,0.39,0.31,0.11
119,1999,0.38,0.48,0.28,0.7,0.2,0.3,0.41,0.8,0.73,0.16,0.25,0.46,0.19,-0.01
120,2000,0.39,0.5,0.28,0.7,0.24,0.29,0.98,0.8,0.55,0.21,0.28,0.42,0.1,0.26
121,2001,0.54,0.64,0.43,0.8,0.42,0.42,1.08,0.86,0.68,0.4,0.44,0.58,0.24,0.25
122,2002,0.63,0.72,0.54,0.83,0.59,0.47,1.26,1.0,0.58,0.55,0.63,0.5,0.32,0.75
123,2003,0.62,0.75,0.49,0.84,0.64,0.37,1.51,0.98,0.54,0.61,0.66,0.44,0.24,0.37
124,2004,0.53,0.66,0.41,0.72,0.55,0.32,0.47,0.95,0.66,0.56,0.53,0.48,0.23,-0.05
125,2005,0.67,0.86,0.49,1.01,0.62,0.41,1.99,1.22,0.57,0.62,0.61,0.49,0.19,0.65
126,2006,0.63,0.82,0.45,0.98,0.55,0.39,1.74,1.06,0.69,0.57,0.54,0.51,0.19,0.41
127,2007,0.66,0.85,0.47,1.13,0.46,0.47,2.12,1.32,0.69,0.45,0.47,0.49,0.07,1.21
128,2008,0.54,0.68,0.4,0.92,0.37,0.39,1.54,1.08,0.61,0.34,0.41,0.52,0.09,0.58
129,2009,0.65,0.72,0.59,0.78,0.67,0.51,1.42,0.6,0.68,0.65,0.7,0.6,0.15,0.95
130,2010,0.72,0.9,0.54,1.02,0.68,0.47,2.22,0.86,0.74,0.72,0.64,0.63,0.2,0.5
131,2011,0.61,0.74,0.47,0.99,0.36,0.56,2.36,0.93,0.58,0.39,0.34,0.64,0.18,1.09
132,2012,0.65,0.81,0.48,1.04,0.52,0.42,2.22,0.93,0.74,0.48,0.56,0.56,0.19,0.41
133,2013,0.67,0.8,0.55,0.95,0.57,0.53,1.55,1.04,0.69,0.58,0.57,0.62,0.23,0.86
134,2014,0.74,0.92,0.57,1.07,0.66,0.52,2.04,1.14,0.73,0.69,0.64,0.72,0.18,0.56
135,2015,0.9,1.18,0.62,1.32,0.95,0.41,2.01,1.48,0.99,0.97,0.93,0.75,0.18,-0.31
136,2016,1.01,1.3,0.72,1.54,1.0,0.49,3.25,1.43,1.07,0.95,1.05,0.67,0.26,0.4
137,2017,0.92,1.17,0.66,1.39,0.81,0.6,2.52,1.38,1.03,0.86,0.75,0.76,0.35,0.55
138,2018,0.84,1.03,0.65,1.24,0.67,0.69,2.14,1.09,1.05,0.72,0.61,0.79,0.38,0.97
139,2019,0.98,1.21,0.74,1.41,0.89,0.65,2.7,1.43,0.99,0.9,0.88,0.74,0.4,0.86
140,2020,1.02,1.35,0.68,1.67,0.86,0.57,2.92,1.82,1.19,0.88,0.83,0.58,0.39,0.92
141,2021,0.85,1.14,0.55,1.42,0.65,0.53,2.05,1.36,1.26,0.72,0.58,0.72,0.32,0.31
142,2022,0.89,1.16,0.62,1.52,0.56,0.71,2.35,1.51,1.27,0.62,0.49,0.78,0.39,1.12
